Added Component: Designator=U2(MODULE_ESP32-C3-WROOM-02-H4)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/ESP32-C3-WROOM-02-N4/Espressif+Systems/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Espressif Systems"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "ESP32-C3-WROOM-02-N4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "Package"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/ESP32-C3-WROOM-02-N4/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/ESP32-C3-WROOM-02-N4/Espressif+Systems/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Pin To Net: NetName=3,3V Pin=U2-1
Added Pin To Net: NetName=NetC2_2 Pin=U2-2
Added Pin To Net: NetName=NetJ1_10 Pin=U2-3
Added Pin To Net: NetName=NetJ1_11 Pin=U2-4
Added Pin To Net: NetName=NetJ1_12 Pin=U2-8
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=NetU2_10 Pin=U2-10
Added Pin To Net: NetName=NetU2_11 Pin=U2-11
Added Pin To Net: NetName=NetU2_12 Pin=U2-12
Added Pin To Net: NetName=NetJ4_A7 Pin=U2-13
Added Pin To Net: NetName=NetJ4_A6 Pin=U2-14
Added Pin To Net: NetName=NetJ1_9 Pin=U2-15
Added Pin To Net: NetName=NetD3_4 Pin=U2-16
Added Pin To Net: NetName=NetC9_2 Pin=U2-17
Added Pin To Net: NetName=NetU1_2 Pin=U2-18
Add Net: Net with name "NetJ1_12" already exists
Add Net: Net with name "NetJ1_12" already exists
Add Net: Net with name "NetJ1_12" already exists
Added Member To Class: ClassName=Sheet1 Member=Component U2 ESP32-C3-WROOM-02-N4
